"Chapter","Page","Format","IntermediateAlphaVisiblePercent","Bytes"
"1-ptbr","0","RGBA5551_sRGB","0.000000","8244"
"1-ptbr","0","RGBA5551_sRGB","0.000000","8244"
"1-ptbr","1","RGBA5551_sRGB","0.000000","32820"
"1-ptbr","1","RGBA5551_sRGB","0.000000","32820"
"1-ptbr","2","RGBA4444_sRGB","20.663162","8388660"
"1-ptbr","2","RGBA4444_sRGB","20.663162","8388660"
"1-ptbr","3","RGBA4444_sRGB","17.415116","8388660"
"1-ptbr","3","RGBA4444_sRGB","17.415116","8388660"
"1-ptbr","4","RGBA5551_sRGB","0.028946","8388660"
"1-ptbr","4","RGBA5551_sRGB","0.028946","8388660"
"1-ptbr","5","RGBA5551_sRGB","0.018899","8388660"
"1-ptbr","5","RGBA5551_sRGB","0.018899","8388660"
"1-ptbr","6","RGBA4444_sRGB","0.163218","8388660"
"1-ptbr","6","RGBA4444_sRGB","0.163218","8388660"
"1-ptbr","7","RGBA5551_sRGB","0.022790","8388660"
"1-ptbr","7","RGBA5551_sRGB","0.022790","8388660"
"1-ptbr","8","RGBA4444_sRGB","0.287069","8388660"
"1-ptbr","8","RGBA4444_sRGB","0.287069","8388660"
"1-ptbr","9","RGBA5551_sRGB","0.000000","8388660"
"1-ptbr","9","RGBA5551_sRGB","0.000000","8388660"
"1-ptbr","10","RGBA5551_sRGB","0.000000","524340"
"1-ptbr","10","RGBA5551_sRGB","0.000000","524340"
"2-variant","16","PVRTC2_4BPP_sRGB_BEST","","2097220"
"2-variant","17","PVRTC2_4BPP_sRGB_BEST","","2097220"
"2-variant","18","PVRTC2_4BPP_sRGB_BEST","","2097220"
"2-variant","19","PVRTC2_4BPP_sRGB_BEST","","2097220"
"2-variant","20","PVRTC2_4BPP_sRGB_BEST","","2097220"
"2-variant","21","PVRTC2_4BPP_sRGB_BEST","","2097220"
"2-variant","22","PVRTC2_4BPP_sRGB_BEST","","2097220"
"2-variant","23","PVRTC2_4BPP_sRGB_BEST","","2097220"
"2-variant","24","PVRTC2_4BPP_sRGB_BEST","","2097220"
"2-variant","25","PVRTC2_4BPP_sRGB_BEST","","2097220"
"2-variant","26","PVRTC2_4BPP_sRGB_BEST","","524380"
"2-variant","26","PVRTC2_4BPP_sRGB_BEST","","524356"
"2-variant","27","PVRTC2_4BPP_sRGB_BEST","","524356"
"2-variant","28","PVRTC2_4BPP_sRGB_BEST","","8388676"
"2-variant","29","PVRTC2_4BPP_sRGB_BEST","","131140"
"2-variant","30","PVRTC2_4BPP_sRGB_BEST","","8260"
"3","17","PVRTC2_4BPP_sRGB_BEST","","2097220"
"3","18","PVRTC2_4BPP_sRGB_BEST","","2097220"
"3","19","PVRTC2_4BPP_sRGB_BEST","","2097220"
"3","24","PVRTC2_4BPP_sRGB_BEST","","2097220"
"3","25","PVRTC2_4BPP_sRGB_BEST","","2097220"
"3","26","PVRTC2_4BPP_sRGB_BEST","","2097220"
"3","27","PVRTC2_4BPP_sRGB_BEST","","2097220"
"3","28","PVRTC2_4BPP_sRGB_BEST","","2097220"
"3","29","PVRTC2_4BPP_sRGB_BEST","","2097220"
"3-variant","13","RGBA4444_sRGB","8.527439","8388660"
"3-variant","14","RGBA4444_sRGB","0.687764","8388660"
"3-variant","15","RGBA4444_sRGB","18.148110","8388660"
"3-variant","16","RGBA4444_sRGB","19.256623","8388660"
"3-variant","17","RGBA4444_sRGB","0.574671","8388660"
"3-variant","18","RGBA4444_sRGB","0.376067","8388660"
"3-variant","19","RGBA4444_sRGB","4.380690","8388660"
"3-variant","20","RGBA4444_sRGB","0.103258","8388660"
"3-variant","21","RGBA4444_sRGB","7.724393","8388660"
"3-variant","22","RGBA4444_sRGB","2.979852","8388660"
"3-variant","23","RGBA4444_sRGB","5.969839","8388660"
"3-variant","24","RGBA4444_sRGB","4.380427","8388660"
"3-variant","25","RGBA4444_sRGB","5.194946","8388660"
"3-variant","26","RGBA4444_sRGB","6.208181","8388660"
"3-variant","27","RGBA4444_sRGB","2.888418","8388660"
"3-variant","28","RGBA4444_sRGB","4.246279","8388660"
"3-variant","29","RGBA4444_sRGB","2.710744","8388660"
"3-variant","33","RGBA5551_sRGB","0.000000","2097204"
"3-variant","34","RGBA4444_sRGB","2.230694","33554484"
"3-variant","35","RGBA4444_sRGB","21.121631","33554484"
"3-variant","36","RGBA5551_sRGB","0.000000","524340"
"4-ptbr","0","RGBA5551_sRGB","0.000000","524340"
"4-ptbr","0","RGBA5551_sRGB","0.000000","524340"
"4-ptbr","1","RGBA5551_sRGB","0.000000","131124"
"4-ptbr","1","RGBA5551_sRGB","0.000000","131124"
"4-ptbr","2","RGBA5551_sRGB","0.000000","32820"
"4-ptbr","2","RGBA5551_sRGB","0.000000","32820"
"4-ptbr","3","RGBA5551_sRGB","0.000000","524340"
"4-ptbr","3","RGBA5551_sRGB","0.000000","524340"
"4-ptbr","4","RGBA5551_sRGB","0.000000","524340"
"4-ptbr","4","RGBA5551_sRGB","0.000000","524340"
"4-ptbr","5","RGBA5551_sRGB","0.000000","524340"
"4-ptbr","5","RGBA5551_sRGB","0.000000","524340"
"4-ptbr","6","RGBA5551_sRGB","0.000000","131124"
"4-ptbr","6","RGBA5551_sRGB","0.000000","131124"
"4-ptbr","7","RGBA5551_sRGB","0.000000","8244"
"4-ptbr","7","RGBA5551_sRGB","0.000000","8244"
"4-ptbr","8","RGBA5551_sRGB","0.000000","65588"
"4-ptbr","8","RGBA5551_sRGB","0.000000","65588"
"4-ptbr","9","RGBA5551_sRGB","0.000000","32820"
"4-ptbr","9","RGBA5551_sRGB","0.000000","32820"
"4-ptbr","10","RGBA4444_sRGB","15.076717","8388660"
"4-ptbr","10","RGBA4444_sRGB","15.076717","8388660"
"4-ptbr","11","RGBA4444_sRGB","15.323553","8388660"
"4-ptbr","11","RGBA4444_sRGB","15.323553","8388660"
"4-ptbr","12","RGBA5551_sRGB","0.029364","8388660"
"4-ptbr","12","RGBA5551_sRGB","0.029364","8388660"
"4-ptbr","13","RGBA4444_sRGB","2.414761","8388660"
"4-ptbr","13","RGBA4444_sRGB","2.414761","8388660"
"4-ptbr","14","RGBA4444_sRGB","6.612722","8388660"
"4-ptbr","14","RGBA4444_sRGB","6.612722","8388660"
"4-ptbr","15","RGBA4444_sRGB","5.449812","8388660"
"4-ptbr","15","RGBA4444_sRGB","5.449812","8388660"
"4-ptbr","16","RGBA4444_sRGB","1.609078","8388660"
"4-ptbr","16","RGBA4444_sRGB","1.609078","8388660"
"4-ptbr","17","RGBA4444_sRGB","17.506864","8388660"
"4-ptbr","17","RGBA4444_sRGB","17.506864","8388660"
"4-ptbr","18","RGBA4444_sRGB","26.269481","8388660"
"4-ptbr","18","RGBA4444_sRGB","26.269481","8388660"
"4-ptbr","19","RGBA4444_sRGB","0.605705","8388660"
"4-ptbr","19","RGBA4444_sRGB","0.605705","8388660"
"4-ptbr","20","RGBA4444_sRGB","1.533822","8388660"
"4-ptbr","20","RGBA4444_sRGB","1.533822","8388660"
"4-ptbr","21","RGBA4444_sRGB","1.791379","8388660"
"4-ptbr","21","RGBA4444_sRGB","1.791379","8388660"
"4-ptbr","22","RGBA4444_sRGB","1.961183","8388660"
"4-ptbr","22","RGBA4444_sRGB","1.961183","8388660"
"4-ptbr","23","RGBA4444_sRGB","13.497133","8388660"
"4-ptbr","23","RGBA4444_sRGB","13.497133","8388660"
"4-ptbr","24","RGBA4444_sRGB","0.860656","8388660"
"4-ptbr","24","RGBA4444_sRGB","0.860656","8388660"
"4-ptbr","25","RGBA4444_sRGB","0.164661","8388660"
"4-ptbr","25","RGBA4444_sRGB","0.164661","8388660"
"4-ptbr","26","RGBA5551_sRGB","0.050457","8388660"
"4-ptbr","26","RGBA5551_sRGB","0.050457","8388660"
"4-ptbr","27","RGBA4444_sRGB","1.470839","8388660"
"4-ptbr","27","RGBA4444_sRGB","1.470839","8388660"
"4-ptbr","28","RGBA4444_sRGB","1.064021","8388660"
"4-ptbr","28","RGBA4444_sRGB","1.064021","8388660"
"4-ptbr","29","RGBA4444_sRGB","1.697864","8388660"
"4-ptbr","29","RGBA4444_sRGB","1.697864","8388660"
"4-ptbr","30","RGBA4444_sRGB","0.916228","8388660"
"4-ptbr","30","RGBA4444_sRGB","0.916228","8388660"
"4-ptbr","31","RGBA4444_sRGB","2.454763","8388660"
"4-ptbr","31","RGBA4444_sRGB","2.454763","8388660"
"4-ptbr","32","RGBA4444_sRGB","1.175717","8388660"
"4-ptbr","32","RGBA4444_sRGB","1.175717","8388660"
"4-ptbr","33","RGBA4444_sRGB","0.683302","8388660"
"4-ptbr","33","RGBA4444_sRGB","0.683302","8388660"
"4-ptbr","34","RGBA4444_sRGB","1.728722","8388660"
"4-ptbr","34","RGBA4444_sRGB","1.728722","8388660"
"4-ptbr","35","RGBA4444_sRGB","5.895281","8388660"
"4-ptbr","35","RGBA4444_sRGB","5.895281","8388660"
"4-ptbr","36","RGBA4444_sRGB","1.381258","8388660"
"4-ptbr","36","RGBA4444_sRGB","1.381258","8388660"
"4-ptbr","37","RGBA4444_sRGB","3.860293","8388660"
"4-ptbr","37","RGBA4444_sRGB","3.860293","8388660"
"4-ptbr","38","RGBA4444_sRGB","0.888401","8388660"
"4-ptbr","38","RGBA4444_sRGB","0.888401","8388660"
"4-ptbr","39","RGBA4444_sRGB","3.550845","4194356"
"4-ptbr","39","RGBA4444_sRGB","3.550845","4194356"
"4-ptbr","40","RGBA5551_sRGB","0.000000","8388660"
"4-ptbr","40","RGBA5551_sRGB","0.000000","8388660"
"4-ptbr","41","RGBA5551_sRGB","0.000000","8388660"
"4-ptbr","41","RGBA5551_sRGB","0.000000","8388660"
"4-ptbr","42","RGBA5551_sRGB","0.000000","1048628"
"4-ptbr","42","RGBA5551_sRGB","0.000000","1048628"
"4-ptbr","43","RGBA5551_sRGB","0.000000","2097204"
"4-ptbr","43","RGBA5551_sRGB","0.000000","2097204"
"4-ptbr","44","RGBA5551_sRGB","0.027089","33554484"
"4-ptbr","44","RGBA5551_sRGB","0.027089","33554484"
"4-ptbr","45","RGBA5551_sRGB","0.008323","2097204"
"4-ptbr","45","RGBA5551_sRGB","0.008323","2097204"
"4-ptbr","46","RGBA5551_sRGB","0.000000","524340"
"4-ptbr","46","RGBA5551_sRGB","0.000000","524340"
"5","29","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","30","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","31","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","33","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","34","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","35","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","37","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","40","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","41","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","43","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","44","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","45","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","47","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","48","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","53","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","56","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","57","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","60","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","61","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","62","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","63","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","64","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","65","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","66","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","67","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","73","PVRTC2_4BPP_sRGB_BEST","","2097220"
"5","74","PVRTC2_4BPP_sRGB_BEST","","2097220"
