"Variant","Page","Format","Reason"
"chapter0","1","RGBA4444","font"
"chapter0","2","RGBA4444","font"
"chapter0-ptbr","1","RGBA4444","font"
"chapter0-ptbr","2","RGBA4444","font"
"chapter0-ptbr","3","RGBA4444","font"
"chapter1","1","RGBA4444","sensitive_sprite"
"chapter1","2","RGBA4444","font,sensitive_sprite"
"chapter1","3","RGBA4444","font"
"chapter1","4","RGBA4444","sensitive_sprite"
"chapter1","5","RGBA4444","sensitive_sprite"
"chapter1","6","RGBA4444","font,sensitive_sprite"
"chapter1","7","RGBA4444","font,sensitive_sprite"
"chapter1","8","RGBA4444","sensitive_sprite"
"chapter1-ptbr","0","PVRTC2","scenery_or_safe_atlas"
"chapter1-ptbr","1","RGBA4444","sensitive_sprite"
"chapter1-ptbr","2","RGBA4444","font,sensitive_sprite"
"chapter1-ptbr","3","RGBA4444","font"
"chapter1-ptbr","4","RGBA4444","sensitive_sprite"
"chapter1-ptbr","5","RGBA4444","sensitive_sprite"
"chapter1-ptbr","6","RGBA4444","sensitive_sprite"
"chapter1-ptbr","7","RGBA4444","sensitive_sprite"
"chapter1-ptbr","8","RGBA4444","sensitive_sprite"
"chapter1-ptbr","9","PVRTC2","scenery_or_safe_atlas"
"chapter1-ptbr","10","RGBA4444","font"
"chapter2","1","RGBA4444","sensitive_sprite"
"chapter2","2","RGBA4444","sensitive_sprite"
"chapter2","3","RGBA4444","font"
"chapter2","4","RGBA4444","font,sensitive_sprite"
"chapter2","5","RGBA4444","sensitive_sprite"
"chapter2","6","RGBA4444","sensitive_sprite"
"chapter2","7","RGBA4444","sensitive_sprite"
"chapter2","8","RGBA4444","font,sensitive_sprite"
"chapter2","9","RGBA4444","font"
"chapter2","10","RGBA4444","font,sensitive_sprite"
"chapter2","11","PVRTC2","scenery_or_safe_atlas"
"chapter2","12","PVRTC2","scenery_or_safe_atlas"
"chapter2","13","PVRTC2","scenery_or_safe_atlas"
"chapter2","14","PVRTC2","scenery_or_safe_atlas"
"chapter2","15","RGBA4444","font,sensitive_sprite"
"chapter2","16","PVRTC2","scenery_or_safe_atlas"
"chapter2","17","PVRTC2","scenery_or_safe_atlas"
"chapter2","18","RGBA4444","font,sensitive_sprite"
"chapter2","19","PVRTC2","scenery_or_safe_atlas"
"chapter2","20","RGBA4444","font,sensitive_sprite"
"chapter2","21","RGBA4444","sensitive_sprite"
"chapter2","22","RGBA4444","font"
"chapter2","23","RGBA4444","sensitive_sprite"
"chapter2","24","RGBA4444","sensitive_sprite"
"chapter2","25","RGBA4444","sensitive_sprite"
"chapter2","26","RGBA4444","sensitive_sprite"
"chapter2-ptbr","1","RGBA4444","sensitive_sprite"
"chapter2-ptbr","2","RGBA4444","sensitive_sprite"
"chapter2-ptbr","3","RGBA4444","font"
"chapter2-ptbr","4","RGBA4444","font,sensitive_sprite"
"chapter2-ptbr","5","RGBA4444","sensitive_sprite"
"chapter2-ptbr","7","RGBA4444","sensitive_sprite"
"chapter2-ptbr","8","RGBA4444","font,sensitive_sprite"
"chapter2-ptbr","9","RGBA4444","font"
"chapter2-ptbr","10","RGBA4444","font"
"chapter2-ptbr","15","RGBA4444","font,sensitive_sprite"
"chapter2-ptbr","18","RGBA4444","sensitive_sprite"
"chapter2-ptbr","20","RGBA4444","sensitive_sprite"
"chapter2-ptbr","23","RGBA4444","sensitive_sprite"
"chapter2-ptbr","24","RGBA4444","sensitive_sprite"
"chapter2-ptbr","25","RGBA4444","sensitive_sprite"
"chapter2-ptbr","26","RGBA4444","sensitive_sprite"
"chapter2-ptbr","27","RGBA4444","font"
"chapter2-ptbr","30","PVRTC2","scenery_or_safe_atlas"
"chapter3","3","RGBA4444","sensitive_sprite"
"chapter3","4","RGBA4444","sensitive_sprite"
"chapter3","5","RGBA4444","sensitive_sprite"
"chapter3","6","RGBA4444","sensitive_sprite"
"chapter3","7","RGBA4444","sensitive_sprite"
"chapter3","8","RGBA4444","sensitive_sprite"
"chapter3","9","RGBA4444","font,sensitive_sprite"
"chapter3","10","RGBA4444","font,sensitive_sprite"
"chapter3","11","RGBA4444","sensitive_sprite"
"chapter3","12","RGBA4444","font"
"chapter3","13","RGBA4444","font"
